"ID_FB","NUM_ETF","CENTRE_PROFIT","VOL_REEL_ABA_M3","COUT_TOTAL_ABA","COUT_ABA_TERRE_M3","VOL_REEL_DEB_M3","COUT_TOTAL_DEB","COUT_DEB_TERRE_M3","VOL_REF","COUTS_ANNEXES_TOTAL","COUTS_ANNEXES_M3","TARIF_PRESTA_TERRE_M3","TARIF_PRESTA_TERRE_TOT","NB_GRUMES","DIAM_MOY","VOL_MOYEN_GRUME","G_TOT_CUT","ESSENCE_MAJ","PRIX_VENTE_TOT","PRIX_VENTE_GRUME_TERRE","VOL_HA_MOY","HA_DES_TOT","FAMILLE_COUPE","PEUPLEMENT_STR","ALTITUDE_MOY","PENTE_MOY","TYPE_CHANTIER"
"FB220004111",41,853501,733.32,7822.16,10.6667757595593,733.32,4827.53,6.58311514754814,733.32,0,0,17.2498909071074,12649.69,192,50.5729166666667,2.287359375,40.015,"Hêtre",41426.75845,215.764366927083,48.21,12.63,"Famille Amélioration","futaie régulière",199.993133544922,3.15819501876831,"Plaine"
"FB220004112",33,853501,79.66,767.13,9.63005272407733,79.66,567.98,7.13005272407733,79.66,0,0,16.7601054481547,1335.11,125,59.24,3.156192,36.088,"Hêtre",37182.87,297.46296,44.59,12.45,"Famille Amélioration","futaie régulière",215.295059204102,0.7133629322052,"Plaine"
"FB220004132",41,853501,491.77,5201.94,10.577993777579,491.77,3267.15,6.64365455395815,491.77,0,0,17.2216483315371,8469.09,94,66.8085106382979,4.20706382978724,34.171,"Hêtre",52176.919096,555.073607404256,91.37,6.3,"Famille Amélioration","futaie régulière",86.9875640869141,7.03952074050903,"Plaine"
"FB220004172",11,853501,720.25,9084.19,12.6125511975009,720.25,5420.7,7.52613675807011,720.25,0,0,20.138687955571,14504.89,70,71.3571428571429,6.38137142857143,30.59,"Chêne sessile ou pédonculé",108213.364464,1545.90520662857,102.73,6,"Famille Régénération","futaie régulière",131.140274047852,2.90806412696838,"Plaine"
"FB220004173",32,853501,918.77,10197.63,11.0992196088248,918.77,6426.14,6.99428583867562,918.77,0,0,18.0935054475005,16623.77,221,64.3212669683258,4.31398190045249,74.8589999999999,"Hêtre",93617.113688,423.606849266968,77.82,16.72,"Famille Régénération","futaie régulière",181.532974243164,3.10487198829651,"Plaine"
"FB220004193",24,833513,495,4572.22,9.23680808080808,495,3347.79,6.76321212121212,495,0,0,16.0000202020202,7920.01,270,43.5185185185185,1.44458148148148,40.9369999999999,"Pin sylvestre",23907.31,88.5455925925927,31.1,13.21,"Famille Régénération","futaie régulière",141.569076538086,0.337224394083023,"Plaine"
"FB220004195",44,833513,393,3624.34,9.22223918575064,393,2679.72,6.81862595419847,393,0,0,16.0408651399491,6304.06,223,49.8430493273543,1.93304484304933,45.868,"Pin sylvestre",23695.1,106.256053811659,31.05,17.07,"Famille Régénération","taillis sous futaie",152.369216918945,1.52258765697479,"Plaine"
"FB220004202",33,853501,924.45,9623.24,10.4096922494456,924.45,6591.33,7.1300016225864,924.45,0,0,17.539693872032,16214.57,266,47.7255639097744,2.06786466165414,51.944,"Hêtre",62103.234937,233.470808033834,41.8,18.02,"Famille Irréguliers","futaie régulière",160.523345947266,6.39782953262329,"Plaine"
"FB220005933",32,853501,692.02,3875.32,5.60001156035953,692.02,2449.76,3.54001329441346,692.02,0,0,9.14002485477298,6325.08,513,33.869395711501,1.13575633528265,48.8999999999999,"Frêne commun",33299.07,64.9104678362573,33.08,21.49,"Famille coupes sanitaires","futaie régulière",150.689102172852,9.45716381072998,"Plaine"
"FB220006726",45,880509,125.755,1634.82,13.0000397598505,125.755,1383.31,11.0000397598505,125.755,0,0,24.000079519701,3018.13,128,43.0078125,1.625734375,21.492,"Feuillu dur",36739.801697,287.029700757813,27.6,11.36,"Famille Amélioration","futaie régulière",260.270751953125,1.03897619247437,"Plaine"
"FB220007895",38,835510,1166,12826,11,1166,6996,6,1166,0,0,17,19822,2053,21.0642961519727,0.32108524111057,75.875,"Chêne sessile ou pédonculé",40882.14,19.9133658061374,26.4,26.29,"Famille Amélioration","futaie régulière",177.334365844727,1.03918588161469,"Plaine"
"FB220007896",38,835510,930,10230,11,NA,NA,NA,NA,0,0,NA,NA,1386,19.8917748917749,0.267735209235209,45.372,"Chêne sessile ou pédonculé",15643.53,11.2868181818182,19.24,19.72,"Famille Amélioration","futaie régulière",170.386383056641,1.21271419525146,"Plaine"
"FB220007910",47,835510,166.7,2157.1,12.9400119976005,166.7,1631.99,9.78998200359928,166.7,0,0,22.7299940011998,3789.09,126,46.0714285714286,1.32696825396825,22.879,"Chêne sessile ou pédonculé",45451.742207,360.728112753968,18.91,16.92,"Famille Régénération","taillis sous futaie",161.884140014648,0.954634487628937,"Plaine"
"FB220008591",28,833502,665,5985,9,665,3990,6,665,0,0,15,9975,557,32.1903052064632,0.840078994614004,48.115,"Pin sylvestre",6960.12,12.4957271095153,32.99,15.22,"Famille Amélioration","futaie régulière",135.311126708984,1.30217182636261,"Plaine"
"FB220008592",49,833514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274,40.7481751824818,1.13393430656934,38.423,"Chêne sessile ou pédonculé",61338.627443,223.863603806569,44.62,11.02,"Famille Régénération","taillis sous futaie",128.331756591797,0.564186811447144,"Plaine"
"FB220008609",27,833514,35.5,436.65,12.3,NA,NA,NA,NA,0,0,NA,NA,753,18.5192563081009,0.292961487383798,28.7390000000001,"Charme",NA,NA,23.27,13,"Famille Coupes d'Emprise","taillis sous futaie",131.988845825195,1.79604208469391,"Plaine"
"FB220008617",48,835510,37.5,485.25,12.94,37.5,345.38,9.21013333333333,37.5,0,0,22.1501333333333,830.63,24,48.5416666666667,1.782125,4.861,"Chêne sessile ou pédonculé",5933.492916,247.2288715,28,2.51,"Famille coupes sanitaires","taillis sous futaie",157.058715820312,1.24283885955811,"Plaine"
"FB220008855",51,833512,303,3302.7,10.9,216,1276.56,5.91,216,0,0,16.81,4579.26,142,44.0845070422535,1.40402112676056,23.672,"Chêne sessile ou pédonculé",57770.825544,406.836799605634,94.17,3.5,"Famille Régénération","futaie régulière",132.182647705078,1.01616609096527,"Plaine"
"FB220010186",52,835510,693,9563.4,13.8,840,5460,6.5,840,0,0,20.3,15023.4,978,23.0623721881391,0.489472392638037,45.512,"Chêne sessile ou pédonculé",30019.53,30.6948159509202,21.135,24.8,"Famille Amélioration","futaie régulière",262.051300048828,2.1987795829773,"Plaine"
"FB220010931",53,844009,690.333,6903.33,10,690.333,6868.81,9.94999514726951,690.333,1380.67,2.00000579430507,21.9500009415746,15152.81,214,63.0607476635514,4.5682476635514,72.646,"Sapin pectiné",55208.33,257.98285046729,181.47,6,"Famille Régénération","futaie régulière",792.20849609375,5.71268320083618,"Montagne"
"FB220013220",33,853501,1514.06,8269.2,5.46160654135239,1814.06,6920.64,3.81500060637465,1814.06,0,0,9.27660714772704,15189.84,336,34.9702380952381,0.938654761904762,35.651,"Hêtre",35314.15,105.101636904762,39.82,10.38,"Famille Irréguliers","futaie régulière",182.367477416992,8.4073600769043,"Plaine"
"FB220013400",25,833514,82.203,747.23,9.09005754047906,NA,NA,NA,NA,0,0,NA,NA,465,49.9677419354839,1.90907311827957,97.6669999999997,"Chêne sessile ou pédonculé",191679.663693,412.214330522581,77.84,17.62,"Famille Régénération","taillis sous futaie",125.900230407715,0.395325869321823,"Plaine"
"FB220013401",25,833514,84,763.56,9.09,NA,NA,NA,NA,0,0,NA,NA,465,49.9677419354839,1.90907311827957,97.6669999999997,"Chêne sessile ou pédonculé",12820.4,27.5707526881721,77.84,17.62,"Famille Régénération","taillis sous futaie",125.900230407715,0.395325869321823,"Plaine"
"FB220014751",11,853501,328.69,4019.57,12.2290608171834,487.64,2595.86,5.32331227955049,487.64,0,0,17.5523730967339,6615.43,58,63.0172413793103,4.55560344827586,18.606,"Hêtre",32081.42,553.127931034483,82.44,4.39,"Famille Régénération","futaie régulière",136.627655029297,3.5790638923645,"Plaine"
"FB220016564",54,850510,785.71,9051.38,11.5200010181874,785.71,8226.38,10.4699952908834,785.71,0,0,21.9899963090708,17277.76,239,52.5313807531381,2.40682426778243,53.254,"Douglas",76548.34,320.285941422594,312.39,1.86,"Famille Régénération","futaie régulière",152.040817260742,1.88645124435425,"Plaine"
"FB220017881",27,833502,445.7,5005.21,11.2299977563383,445.7,2500.38,5.61000673098497,445.7,0,0,16.8400044873233,7505.59,339,48.4070796460177,1.87407079646018,66.714,"Pin sylvestre",15070.84,44.4567551622419,44.04,16.49,"Famille Régénération","futaie régulière",139.231689453125,1.42198753356934,"Plaine"
"FB220017888",43,833514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382,60.7460732984293,2.52416492146597,113.655,"Chêne sessile ou pédonculé",459311.394955,1202.38585066754,50.78,26.34,"Famille Régénération","Futaie sur souche ou TSF en conversion",133.231796264648,1.44007432460785,"Plaine"
"FB220019140",56,835510,245.996,2890.45,11.7499878046798,246,2263.2,9.2,246,0,0,20.9499878046798,5153.65,104,51.3461538461538,2.31213461538462,22.082,"Chêne sessile ou pédonculé",44644.654807,429.275526990385,21.74,16.27,"Famille Amélioration","Futaie sur souche ou TSF en conversion",178.116439819336,0.988879680633545,"Plaine"
"FB220019141",56,835510,150,1747.5,11.65,143.46,903.8,6.30001394116827,143.46,0,0,17.9500139411683,2651.3,104,51.3461538461538,2.31213461538462,22.082,"Chêne sessile ou pédonculé",3669.16,35.2803846153846,21.74,16.27,"Famille Amélioration","Futaie sur souche ou TSF en conversion",178.116439819336,0.988879680633545,"Plaine"
"FB220019175",57,853501,105.8,1246.33,11.780056710775,NA,NA,NA,NA,0,0,NA,NA,248,33.4475806451613,0.983552419354838,25.434,"Tilleul",10495.342323,42.3199287217742,32.04,10.16,"Famille Irréguliers","futaie régulière",97.1495971679688,11.0420598983765,"Plaine"
