ID_FB,VOL_REEL_ABA_M3,COUT_TOTAL_ABA,COUT_ABA_TERRE_M3,VOL_REEL_DEB_M3,COUT_TOTAL_DEB,COUT_DEB_TERRE_M3,VOL_REF
FB220053399,430.86,4824,11.196212226709372,430.86,3056.93,7.094949635612496,430.86
FB220053857,609.26,7419.0599999999995,12.177165742047729,871.29,4797.03,5.5056640154254035,871.29
FB220053959,831.6,9555.08,11.48999518999519,913.803,5126.43,5.609994714396867,913.803
FB220054010,350,5337.5,15.25,368.5,2653.2,7.199999999999999,368.5
FB220054033,406.04,4624.8,11.3900108363708,406.04,2277.88,5.609989163629199,406.04
FB220054040,895,10283.55,11.489999999999998,895,5020.95,5.609999999999999,895
FB220054151,345.36,4193.049999999999,12.141099142923323,345.36,2577.74,7.463921704887652,345.36
FB220055478,470,5470.0599999999995,11.638425531914892,470,2966.5,6.311702127659575,470
FB220055523,1144.026,8107.55,7.086858165810916,870.44,6093.08,6.999999999999999,870.44
FB220055617,1709.68,18806.48,11,1709.68,10258.08,6,1709.68
FB220055646,1096.054,12571.75,11.470009689303629,1096.0600000000002,9513.79,8.679990146524824,1096.0600000000002
FB220055681,310,4278,13.8,NA,NA,NA,NA
FB220055727,863.5,10862.83,12.58,863.5,8937.23,10.350005790387955,863.5
FB220055910,87.3,1161.09,13.299999999999999,370.9,3132.5,8.44567268805608,370.9
FB220056050,325.021,4875.32,15.000015383621365,369.09,4521.35,12.249993226584303,369.09
FB220057281,1210,15125,12.5,1210,7865,6.5,1210
FB220058355,1204,12040,10,254,1639,6.452755905511811,254
FB220058656,81.11,781.09,9.63000863025521,81.11,578.31,7.1299469855751445,81.11
FB220058657,9.3,89.56,9.63010752688172,9.3,66.31,7.13010752688172,9.3
FB220058658,17.8,171.41,9.629775280898876,17.8,126.91,7.129775280898876,17.8
FB220058864,566.8,6455.85,11.389996471418492,1269.8,7767.549999999999,6.117144432194046,1269.8
FB220062525,168,1599.36,9.52,NA,NA,NA,NA
FB220062529,336,3860.6400000000003,11.49,2035.48,12553.27,6.167228368738578,2035.48
FB220063130,1017.8,9709.81,9.539998034977403,1017.8,5709.86,5.610001965022597,1017.8
FB220063678,173.28,2007.17,11.583391043397969,65.14,464.45,7.130027632790911,65.14
FB220064893,488.42,5745.389999999999,11.763216084517422,488.42,3156.29,6.462245608287948,488.42
FB220064894,844.76,8547.01,10.117678393863347,844.76,6023.139999999999,7.130001420521804,844.76
FB220066273,106.05,1346.84,12.7000471475719,106.05,870.67,8.20999528524281,106.05
FB220068372,332.598,3911.35,11.759992543551073,332.598,2916.88,8.769986590418464,332.598
FB220068712,849.28,10595.560000000001,12.475932554634516,1476.1100000000001,6804.55,4.60978517861135,1476.1100000000001
FB220068713,722.96,9038.2,12.501659842868209,722.96,5486.4400000000005,7.58885692154476,722.96
FB220068781,651.04,7550.07,11.596937208159254,651.04,4814.2699999999995,7.394737650528385,651.04
FB220068804,2100,21000,10,2100,12600,6,2100
FB220068977,97.1,1038.97,10.700000000000001,252.39,2282.8,9.044732358651295,252.39
FB220068983,291,2802.33,9.629999999999999,521.9,3574.46,6.848936577888485,521.9
FB220071282,622.099,7682.919999999999,12.34999574022784,622.0899999999999,6376.43,10.25001205613336,622.0899999999999
FB220071382,216.36,2248.21,10.391061194305786,216.36,1577.26,7.289979663523757,216.36
FB220071383,1096.78,11322.82,10.323692992213571,1096.78,7995.52,7.289994347088752,1096.78
FB220071384,145.12,1430.02,9.854051819184123,145.12,1022.23,7.044032524807056,145.12
FB220071385,862.5799999999999,10419.349999999999,12.079285399615108,862.5799999999999,6246.98,7.2422036216930605,862.5799999999999
FB220071391,493.827,5847.110000000001,11.840401598130521,493.90999999999997,3458.6000000000004,7.002490332246767,493.90999999999997
FB220071392,1062.78,10945.59,10.299017670637385,1062.78,7747.67,7.290003575528331,1062.78
FB220071393,321.90999999999997,3678.12,11.425926501195987,321.90999999999997,2323.8900000000003,7.219067441210278,321.90999999999997
FB220071394,533.6400000000001,6655.49,12.471872423356567,533.6400000000001,4058.7,7.6056892286935,533.6400000000001
FB220071395,1048.17,13156.01,12.551408645544138,1048.17,7924.91,7.560710571758397,1048.17
FB220071396,510.65999999999997,6398.88,12.53060744918341,510.65999999999997,3866.96,7.5724748364861165,510.65999999999997
FB220071398,414.64,5172.85,12.475520933822112,414.64,3152.7799999999997,7.603656183677407,414.64
FB220071399,774.41,7387.87,9.539998192172105,774.41,5211.78,6.730000903913948,774.41
FB220071400,374.26,3656.31,9.769438358360498,374.26,2604.64,6.959439961524074,374.26
FB220071412,569.51,5896.200000000001,10.353110568734527,569.51,4151.73,7.290003687380379,569.51
FB220071413,529.5799999999999,2953.0199999999995,5.5761546886211715,529.5799999999999,1878.16,3.5465085539484127,529.5799999999999
FB220071414,293.34000000000003,1705.6,5.814413308788436,293.34000000000003,1116.01,3.8044930797027336,293.34000000000003
FB220071416,444.04,4862.24,10.950004504098729,444.04,2837.42,6.390009909017206,444.04
FB220071499,825.96,8522.01,10.317703036466657,625.96,4563.25,7.29000255607387,625.96
FB220072297,534,5393.4,10.1,534,2995.74,5.609999999999999,534
FB220074089,3337,31974.67,9.581860952951752,3337,18439.46,5.525759664369193,3337
FB220074838,310.48,1419.2400000000002,4.571115691832002,NA,NA,NA,NA
FB230000023,573.09,5702.42,9.950304489696208,573.09,4063.38,7.090299952886981,573.09
FB230000040,691.91,7171.68,10.365047477273057,691.91,5044.030000000001,7.290008816175516,691.91
FB230000042,936.13,10001.39,10.683761870680353,936.13,6151.82,6.5715445504363705,936.13
FB230000044,148.91,1572.7399999999998,10.561681552615672,148.91,990.9599999999999,6.6547579074608825,148.91
FB230000048,1033.33,12926.05,12.509120997164507,1033.33,7837.4400000000005,7.584643821431683,1033.33
