"ID_FB","VOL_REEL_ABA_M3","COUT_TOTAL_ABA","COUT_ABA_TERRE_M3","VOL_REEL_DEB_M3","COUT_TOTAL_DEB","COUT_DEB_TERRE_M3","VOL_REF","COUTS_ANNEXES_TOTAL","COUTS_ANNEXES_M3","TARIF_PRESTA_TERRE_M3","TARIF_PRESTA_TERRE_TOT"
"FB220042779",350.49,4026.91,11.4893720220263,350.49,2553.04,7.28420211703615,350.49,0,0,18.7735741390625,6579.95
"FB220042897",187.92,2207.57,11.74739250745,187.92,1349.49,7.18119412515964,187.92,0,0,18.9285866326096,3557.06
"FB220044462",324.5,4095.95,12.6223420647149,324.5,2440.44,7.52061633281972,324.5,0,0,20.1429583975347,6536.39
"FB220046077",2697.2,17975.24,6.66440753373869,2697.2,10659.07,3.95190197241584,2697.2,0,0,10.6163095061545,28634.31
"FB220047121",805.97,8580.5,10.6461778974404,805.97,5066.68,6.28643746045138,805.97,0,0,16.9326153578917,13647.18
"FB220047122",582.06,3187.61,5.4764285468852,582.06,2220.57,3.81501907019895,582.06,0,0,9.29144761708415,5408.18
"FB220049055",322.21,4320.77,13.4097948542876,322.21,2584.3,8.02054560690233,322.21,0,0,21.4303404611899,6905.07
"FB220049063",213.78,1211.07,5.66502946954813,NA,NA,NA,NA,0,0,NA,NA
"FB220050025",856.22,12345.46,14.4185606503002,856.22,6104.85,7.13000163509378,856.22,0,0,21.5485622853939,18450.31
"FB220050815",42.75,457.43,10.7001169590643,42.75,281.3,6.58011695906433,42.75,0,0,17.2802339181287,738.73
"FB220050819",578.85,7246.15,12.5181826034379,578.85,4387.4,7.57951109959402,578.85,0,0,20.0976937030319,11633.55
"FB220052639",298.63,5972.6,20,298.63,5375.34,18,298.63,298.63,1,39,11646.57
"FB220052876",58,750.52,12.94,58,534.18,9.21,58,0,0,22.15,1284.7
"FB220053012",80.616,1048.01,13.0000248089709,80.616,1048.01,13.0000248089709,80.616,0,0,26.0000496179418,2096.02
"FB220053399",430.86,4824,11.1962122267094,430.86,3056.93,7.0949496356125,430.86,0,0,18.2911618623219,7880.93
"FB220053857",609.26,7419.06,12.1771657420477,871.29,4797.03,5.5056640154254,871.29,0,0,17.6828297574731,12216.09
"FB220053959",831.6,9555.08,11.4899951899952,913.803,5126.43,5.60999471439687,913.803,0,0,17.0999899043921,14681.51
"FB220054010",350,5337.5,15.25,368.5,2653.2,7.2,368.5,0,0,22.45,7990.7
"FB220054033",406.04,4624.8,11.3900108363708,406.04,2277.88,5.6099891636292,406.04,240,0.591074770958526,17.5910747709585,7142.68
"FB220054040",895,10283.55,11.49,895,5020.95,5.61,895,0,0,17.1,15304.5
"FB220054151",345.36,4193.05,12.1410991429233,345.36,2577.74,7.46392170488765,345.36,0,0,19.605020847811,6770.79
"FB220055478",470,5470.06,11.6384255319149,470,2966.5,6.31170212765957,470,0,0,17.9501276595745,8436.56
"FB220055523",1144.026,8107.55,7.08685816581092,870.44,6093.08,7,870.44,0,0,14.0868581658109,14200.63
"FB220055617",1709.68,18806.48,11,1709.68,10258.08,6,1709.68,0,0,17,29064.56
"FB220055646",1096.054,12571.75,11.4700096893036,1096.06,9513.79,8.67999014652482,1096.06,0,0,20.1499998358285,22085.54
"FB220055681",310,4278,13.8,NA,NA,NA,NA,0,0,NA,NA
"FB220055727",863.5,10862.83,12.58,863.5,8937.23,10.350005790388,863.5,600,0.694846554719166,23.6248523451071,20400.06
"FB220055910",87.3,1161.09,13.3,370.9,3132.5,8.44567268805608,370.9,0,0,21.7456726880561,4293.59
"FB220056050",325.021,4875.32,15.0000153836214,369.09,4521.35,12.2499932265843,369.09,7200,19.5074372104365,46.7574458206421,16596.67
"FB220057281",1210,15125,12.5,1210,7865,6.5,1210,0,0,19,22990
"FB220058355",1204,12040,10,254,1639,6.45275590551181,254,0,0,16.4527559055118,13679
"FB220058656",81.11,781.09,9.63000863025521,81.11,578.31,7.12994698557514,81.11,0,0,16.7599556158304,1359.4
"FB220058657",9.3,89.56,9.63010752688172,9.3,66.31,7.13010752688172,9.3,0,0,16.7602150537634,155.87
"FB220058658",17.8,171.41,9.62977528089888,17.8,126.91,7.12977528089888,17.8,0,0,16.7595505617978,298.32
"FB220058864",566.8,6455.85,11.3899964714185,1269.8,7767.55,6.11714443219405,1269.8,0,0,17.5071409036125,14223.4
"FB220062525",168,1599.36,9.52,NA,NA,NA,NA,0,0,NA,NA
"FB220062529",336,3860.64,11.49,2035.48,12553.27,6.16722836873858,2035.48,560,0.275119382160473,17.932347750899,16973.91
"FB220063130",1017.8,9709.81,9.5399980349774,1017.8,5709.86,5.6100019650226,1017.8,0,0,15.15,15419.67
"FB220063678",173.28,2007.17,11.583391043398,65.14,464.45,7.13002763279091,65.14,0,0,18.7134186761889,2471.62
"FB220064893",488.42,5745.39,11.7632160845174,488.42,3156.29,6.46224560828795,488.42,0,0,18.2254616928054,8901.68
"FB220064894",844.76,8547.01,10.1176783938633,844.76,6023.14,7.1300014205218,844.76,0,0,17.2476798143852,14570.15
"FB220066273",106.05,1346.84,12.7000471475719,106.05,870.67,8.20999528524281,106.05,0,0,20.9100424328147,2217.51
"FB220068372",332.598,3911.35,11.7599925435511,332.598,2916.88,8.76998659041846,332.598,0,0,20.5299791339695,6828.23
"FB220068712",849.28,10595.56,12.4759325546345,1476.11,6804.55,4.60978517861135,1476.11,0,0,17.0857177332459,17400.11
"FB220068713",722.96,9038.2,12.5016598428682,722.96,5486.44,7.58885692154476,722.96,0,0,20.090516764413,14524.64
"FB220068781",651.04,7550.07,11.5969372081593,651.04,4814.27,7.39473765052839,651.04,0,0,18.9916748586876,12364.34
"FB220068804",2100,21000,10,2100,12600,6,2100,0,0,16,33600
"FB220068977",97.1,1038.97,10.7,252.39,2282.8,9.0447323586513,252.39,0,0,19.7447323586513,3321.77
"FB220068983",291,2802.33,9.63,521.9,3574.46,6.84893657788848,521.9,0,0,16.4789365778885,6376.79
"FB220071282",622.099,7682.92,12.3499957402278,622.09,6376.43,10.2500120561334,622.09,0,0,22.6000077963612,14059.35
"FB220071382",216.36,2248.21,10.3910611943058,216.36,1577.26,7.28997966352376,216.36,0,0,17.6810408578295,3825.47
"FB220071383",1096.78,11322.82,10.3236929922136,1096.78,7995.52,7.28999434708875,1096.78,0,0,17.6136873393023,19318.34
"FB220071384",145.12,1430.02,9.85405181918412,145.12,1022.23,7.04403252480706,145.12,0,0,16.8980843439912,2452.25
"FB220071385",862.58,10419.35,12.0792853996151,862.58,6246.98,7.24220362169306,862.58,0,0,19.3214890213082,16666.33
"FB220071391",493.827,5847.11,11.8404015981305,493.91,3458.6,7.00249033224677,493.91,0,0,18.8428919303773,9305.71
"FB220071392",1062.78,10945.59,10.2990176706374,1062.78,7747.67,7.29000357552833,1062.78,0,0,17.5890212461657,18693.26
"FB220071393",321.91,3678.12,11.425926501196,321.91,2323.89,7.21906744121028,321.91,0,0,18.6449939424063,6002.01
"FB220071394",533.64,6655.49,12.4718724233566,533.64,4058.7,7.6056892286935,533.64,0,0,20.0775616520501,10714.19
"FB220071395",1048.17,13156.01,12.5514086455441,1048.17,7924.91,7.5607105717584,1048.17,0,0,20.1121192173025,21080.92
"FB220071396",510.66,6398.88,12.5306074491834,510.66,3866.96,7.57247483648612,510.66,0,0,20.1030822856695,10265.84
"FB220071398",414.64,5172.85,12.4755209338221,414.64,3152.78,7.60365618367741,414.64,0,0,20.0791771174995,8325.63
"FB220071399",774.41,7387.87,9.5399981921721,774.41,5211.78,6.73000090391395,774.41,0,0,16.2699990960861,12599.65
"FB220071400",374.26,3656.31,9.7694383583605,374.26,2604.64,6.95943996152407,374.26,0,0,16.7288783198846,6260.95
"FB220071412",569.51,5896.2,10.3531105687345,569.51,4151.73,7.29000368738038,569.51,0,0,17.6431142561149,10047.93
"FB220071413",529.58,2953.02,5.57615468862117,529.58,1878.16,3.54650855394841,529.58,0,0,9.12266324256958,4831.18
"FB220071414",293.34,1705.6,5.81441330878844,293.34,1116.01,3.80449307970273,293.34,0,0,9.61890638849117,2821.61
"FB220071416",444.04,4862.24,10.9500045040987,444.04,2837.42,6.3900099090172,444.04,0,0,17.3400144131159,7699.66
"FB220071499",825.96,8522.01,10.3177030364667,625.96,4563.25,7.29000255607387,625.96,0,0,17.6077055925405,13085.26
"FB220072297",534,5393.4,10.1,534,2995.74,5.61,534,0,0,15.71,8389.14
"FB220074089",3337,31974.67,9.58186095295175,3337,18439.46,5.52575966436919,3337,0,0,15.1076206173209,50414.13
"FB220074838",310.48,1419.24,4.571115691832,NA,NA,NA,NA,0,0,NA,NA
"FB230000023",573.09,5702.42,9.95030448969621,573.09,4063.38,7.09029995288698,573.09,0,0,17.0406044425832,9765.8
"FB230000040",691.91,7171.68,10.3650474772731,691.91,5044.03,7.29000881617552,691.91,0,0,17.6550562934486,12215.71
"FB230000042",936.13,10001.39,10.6837618706804,936.13,6151.82,6.57154455043637,936.13,0,0,17.2553064211167,16153.21
"FB230000044",148.91,1572.74,10.5616815526157,148.91,990.96,6.65475790746088,148.91,0,0,17.2164394600766,2563.7
"FB230000048",1033.33,12926.05,12.5091209971645,1033.33,7837.44,7.58464382143168,1033.33,0,0,20.0937648185962,20763.49
"FB230000250",1524.7,8622.06,5.65492227979274,1524.7,5938.7,3.89499573686627,1524.7,0,0,9.54991801665901,14560.76
"FB230002266",19.88,304.16,15.2997987927565,19.88,152.08,7.64989939637827,19.88,0,0,22.9496981891348,456.24
"FB230002364",600.18,6192.12,10.3171048685394,600.18,4375.31,7.289996334433,600.18,0,0,17.6071012029724,10567.43
"FB230003231",203,2888.69,14.23,203.287,1825.52,8.98001347848116,203.287,0,0,23.2100134784812,4714.21
"FB230003236",392,5789.84,14.77,392,4398.24,11.22,392,0,0,25.99,10188.08
"FB230003237",514,7314.22,14.23,514.422,4619.51,8.98000085532889,514.422,0,0,23.2100008553289,11933.73
"FB230004069",33.2,335.32,10.1,1089.6,6722.83,6.16999816446402,1089.6,0,0,16.269998164464,7058.15
"FB230004600",10.1,121.6,12.039603960396,10.1,79.29,7.85049504950495,10.1,0,0,19.890099009901,200.89
"FB230004672",434.1,4384.41,10.1,434.1,2435.3,5.60999769638332,434.1,0,0,15.7099976963833,6819.71
"FB230005138",1821.463,9107.32,5.00000274504615,NA,NA,NA,NA,9500,0,NA,NA
