ID_FB,NUM_ETF,LIBELLE_ARTICLE,UNITE,DATE_RECEPTION,QUANTITE_RECEPTION,DATE_PREC,JOURS_CALENDAIRES,JOURS_TRAVAILLES,VITESSE_MOY_JOUR_M3,TYPE_VITESSE,VOL_REF,TYPE_CHANTIER,ANNEE,VOL_TOT_ANNUEL_M3,NB_CHANTIERS,debut,fin
FB240004598,41,Abatt/Faç. grumes feu. toutes classes,M3,2024-06-05,192.82,2024-05-16,20,14.285714285714286,13.497399999999999,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240004684,132,Débardage de grumes,M3,2025-03-24,268.05,2025-03-03,21,15,17.87,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240004691,11,Abatt-faç bois ind/chauff feuil billon,M3A,2024-08-23,337.56,2024-08-19,4,2.857142857142857,118.146,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240004693,132,Débardage de grumes,M3,2025-09-11,186.67,2025-07-10,63,45,4.148222222222222,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240004697,132,Abatt-faç bois ind/chauff feuil billon,M3A,2024-12-12,300.46,2024-10-18,55,39.285714285714285,7.648072727272727,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240008951,52,Abattage mécanisé de bois d'industrie,M3A,2024-03-29,500,2024-03-20,9,6.428571428571429,77.77777777777777,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240009219,132,Débardage de grumes,M3,2025-05-23,116.15,2025-05-20,3,2.142857142857143,54.20333333333334,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240009219,132,Abatt-faç bois ind/chauff feuil billon,M3A,2025-05-26,133.92,2025-05-23,3,2.142857142857143,62.495999999999995,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240009289,18,Débardage de bois d'oeuvre resineux,M3,2025-05-27,18.62,2025-05-22,5,3.5714285714285716,5.2136,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240009822,33,Abatt-faç bois ind/chauff feuil billon,M3A,2025-03-18,361.67,2025-01-22,55,39.285714285714285,9.206145454545455,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240010052,72,Abatt/Faç. grumes feu. toutes classes,M3,2024-05-31,43.48,2024-05-23,8,5.714285714285714,7.608999999999999,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240010630,122,Abatt/Faç. grumes rés. toutes classes,M3,2024-11-14,200,2024-10-21,24,17.142857142857142,11.666666666666668,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240010630,118,Débardage de bois d'oeuve feuillu,M3,2024-11-18,1319.9,2024-11-14,4,2.857142857142857,461.96500000000003,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240010630,119,Abatt/Faç. grumes feu. toutes classes,M3,2024-12-23,243.94,2024-11-18,35,25,9.7576,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240012268,33,Abatt/Faç. grumes feu. toutes classes,M3,2025-03-18,302.82,2025-01-23,54,38.57142857142857,7.850888888888889,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240015581,44,Débardage de grumes,M3,2024-12-19,327,2024-10-30,50,35.714285714285715,9.156,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240016862,115,Débardage,U,2024-06-24,4,2024-06-13,11,7.857142857142858,0.509090909090909,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240018118,102,Débardage,H,2024-07-08,198.5,2024-06-17,21,15,13.233333333333333,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240018118,148,Abattage-façonnage de grumes,M3,2024-08-02,144,2024-07-08,25,17.857142857142858,8.064,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240018118,146,"Abattage, façonnage (gén)",H,2024-08-07,15,2024-08-02,5,3.5714285714285716,4.2,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240018118,148,"Abattage, façonnage (gén)",H,2024-08-21,20,2024-08-07,14,10,2,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240018118,148,Abattage-façonnage de grumes,M3,2024-08-27,100,2024-08-21,6,4.285714285714286,23.333333333333336,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240018118,147,Abattage-façonnage de grumes,M3,2024-08-30,30,2024-08-27,3,2.142857142857143,14,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240018118,148,Abattage-façonnage de grumes,M3,2024-09-02,168,2024-08-30,3,2.142857142857143,78.4,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240018118,148,Abattage-façonnage de grumes,M3,2024-09-11,104,2024-09-02,9,6.428571428571429,16.177777777777777,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240018118,147,Abattage-façonnage de grumes,M3,2024-09-16,30,2024-09-12,4,2.857142857142857,10.5,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240018118,148,Abattage-façonnage de grumes,M3,2024-09-25,224,2024-09-16,9,6.428571428571429,34.84444444444444,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240018118,147,Abattage-façonnage de grumes,M3,2024-10-03,30,2024-09-25,8,5.714285714285714,5.25,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240018118,148,Abattage-façonnage de grumes,M3,2024-10-11,168,2024-10-03,8,5.714285714285714,29.4,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240018118,148,Abattage-façonnage de grumes,M3,2024-10-16,84,2024-10-11,5,3.5714285714285716,23.52,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240018118,148,Abattage-façonnage de grumes,M3,2024-10-23,76,2024-10-17,6,4.285714285714286,17.733333333333334,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240018118,147,Abattage-façonnage de grumes,M3,2024-11-05,40,2024-10-23,13,9.285714285714286,4.3076923076923075,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240018118,148,Abattage-façonnage de grumes,M3,2024-11-15,176,2024-11-05,10,7.142857142857143,24.639999999999997,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240018118,147,Abattage-façonnage de grumes,M3,2024-11-25,60,2024-11-15,10,7.142857142857143,8.4,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240018118,148,Abattage-façonnage de grumes,M3,2024-12-09,168,2024-11-25,14,10,16.8,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240018118,147,Abattage-façonnage de grumes,M3,2024-12-13,30,2024-12-09,4,2.857142857142857,10.5,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240018118,148,Abattage-façonnage de grumes,M3,2024-12-18,158,2024-12-13,5,3.5714285714285716,44.239999999999995,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240018118,147,Abattage-façonnage de grumes,M3,2025-01-15,10,2024-12-18,28,20,0.5,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240018118,148,Abattage-façonnage de grumes,M3,2025-01-21,168,2025-01-17,4,2.857142857142857,58.8,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240018118,148,Abattage-façonnage de grumes,M3,2025-01-28,112,2025-01-23,5,3.5714285714285716,31.36,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240018118,148,Abattage-façonnage de grumes,M3,2025-02-06,52,2025-01-28,9,6.428571428571429,8.088888888888889,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240018118,148,Abattage-façonnage de grumes,M3,2025-02-13,24,2025-02-07,6,4.285714285714286,5.6000000000000005,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240018118,148,Débardage,M3,2025-02-24,89.46,2025-02-13,11,7.857142857142858,11.38581818181818,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240018118,148,"Abattage, façonnage (gén)",H,2025-03-11,10,2025-02-26,13,9.285714285714286,1.0769230769230769,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240018118,148,Débardage,M3,2025-03-24,7.75,2025-03-11,13,9.285714285714286,0.8346153846153845,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240018118,148,Débardage,M3,2025-03-27,24.41,2025-03-24,3,2.142857142857143,11.391333333333334,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240018118,148,Débardage,M3,2025-04-03,42.48,2025-03-27,7,5,8.495999999999999,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240018118,147,Abattage-façonnage de grumes,M3,2025-04-07,17.503,2025-04-03,4,2.857142857142857,6.12605,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240018118,107,Débardage,H,2025-04-30,43,2025-04-07,23,16.42857142857143,2.6173913043478256,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240018118,107,Débardage de grumes,M3,2025-09-17,131.95,2025-09-03,14,10,13.194999999999999,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240018119,107,Abattage mécanisé de bois d'industrie,M3A,2024-09-16,1698,2024-09-04,12,8.571428571428571,198.1,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240018119,107,Abattage mécanisé de bois d'industrie,M3A,2024-10-08,1700,2024-09-16,22,15.714285714285715,108.18181818181817,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240018119,142,Abattage-façonnage de grumes,H,2024-10-11,144,2024-10-08,3,2.142857142857143,67.2,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240018119,107,Abattage mécanisé de bois d'industrie,M3A,2024-10-16,877,2024-10-11,5,3.5714285714285716,245.55999999999997,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240018119,107,Abattage mécanisé de bois d'industrie,M3A,2024-11-06,316,2024-10-16,21,15,21.066666666666666,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240021755,98,Débardage de bois d'industrie en billons,M3A,2024-11-14,762.3,2024-11-06,8,5.714285714285714,133.40249999999997,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240022836,45,Abattage-façonnage de grumes,M3,2024-10-02,30,2024-08-22,41,29.285714285714285,1.024390243902439,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240022836,46,Débardage de grumes,M3,2024-10-10,239,2024-10-02,8,5.714285714285714,41.824999999999996,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240022854,45,Abattage-façonnage de grumes,M3,2024-10-02,60,2024-09-10,22,15.714285714285715,3.818181818181818,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240022875,27,Abatt/Façonnage bois d'ind. en billons,M3A,2024-11-04,508.64,2024-09-11,54,38.57142857142857,13.186962962962964,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240024008,57,Abatt/Faç. grumes feu. toutes classes,M3,2024-11-19,125,2024-09-26,54,38.57142857142857,3.240740740740741,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240024008,57,Abatt-faç bois ind/chauff feuil billon,M3A,2024-12-09,150,2024-11-19,20,14.285714285714286,10.5,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240024008,57,Débardage de bois d'industrie en billons,M3A,2025-02-12,287.72,2024-12-09,65,46.42857142857143,6.197046153846154,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240024557,48,Abattage-façonnage de grumes,M3,2024-10-28,261.95,2024-09-26,32,22.857142857142858,11.460312499999999,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240024581,55,Abattage-façonnage de grumes,M3,2024-11-21,416.8,2024-11-14,7,5,83.36,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240024591,24,"Abattage, façonnage (gén)",H,2024-12-12,4,2024-11-26,16,11.428571428571429,0.35,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240024595,24,Abattage mécanisé de bois d'industrie,M3A,2024-09-17,57,2024-08-21,27,19.285714285714285,2.9555555555555557,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240024706,98,Débardage de bois d'industrie en billons,M3A,2025-06-05,368,2025-06-02,3,2.142857142857143,171.73333333333335,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240024730,24,Abattage mécanisé de bois d'industrie,M3A,2025-01-03,38,2024-12-19,15,10.714285714285715,3.5466666666666664,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240025058,142,Abattage-façonnage de grumes,H,2025-03-10,56,2025-03-05,5,3.5714285714285716,15.68,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240025058,107,"Abattage, façonnage (gén)",H,2025-03-19,15,2025-03-10,9,6.428571428571429,2.333333333333333,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240025119,41,Abatt/Faç. grumes feu. toutes classes,M3,2024-07-04,407.75,2024-06-05,29,20.714285714285715,19.68448275862069,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240026459,3,Abattage-façonnage de grumes,M3,2024-11-06,200,2024-10-21,16,11.428571428571429,17.5,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240026794,4,Abattage-façonnage de grumes,M3,2025-07-21,150,2025-07-01,20,14.285714285714286,10.5,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240026794,112,Abatt/Façonnage bois d'ind. en billons,M3A,2025-09-04,555,2025-07-21,45,32.142857142857146,17.266666666666666,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240026800,41,Abatt/Faç. grumes feu. toutes classes,M3,2024-09-26,93.41,2024-08-16,41,29.285714285714285,3.189609756097561,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240026830,33,Abatt-faç bois ind/chauff feuil billon,M3A,2025-03-18,373.92,2025-02-12,34,24.285714285714285,15.396705882352942,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240026830,33,Abatt/Faç. grumes feu. toutes classes,M3,2025-04-28,183.33,2025-03-18,41,29.285714285714285,6.260048780487805,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240029105,41,Abatt-faç bois ind/chauff feuil billon,M3A,2025-03-20,188.77,2025-02-12,36,25.714285714285715,7.341055555555555,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240030014,153,Abatt/Faç. grumes feu. toutes classes,M3,2024-12-12,586.49,2024-11-19,23,16.42857142857143,35.69939130434782,intra_chantier,NA,NA,NA,NA,NA,NA,NA
