"ACCORD_CADRE","ID_CHANTIER","NUM_SAP","NUM_ETF","AGENCE","CENTRE_PROFIT","POSTE","ARTICLE","LIBELLE_ARTICLE","LIBELLE_POSTE","PU_COMMANDE","UNITE","QUANTITE_COMMANDE","DATE_RECEPTION","QUANTITE_RECEPTION","MONTANT_RECEPTION","ID_LIGNE","TYPE_TRAVAUX"
"2022-2024","MS37_lot1",4501611621,1,8455,845514,60,"04-EXPL-DBC01","Débardage par câble","DB BI RX FD ST PRIX P67",13.5,"STR",1713,2024-07-11,1363,18400.5,289,"DEBARDAGE"
"2022-2024","MS37_lot1",4501611621,1,8455,845514,80,"04-EXPL-DBC01","Débardage par câble","DB BO RX FD ST PRIX P95",17,"M3",127,2024-05-15,127,2159,291,"DEBARDAGE"
"2022-2024","MS37_lot1",4501611621,1,8455,845514,100,"04-EXPL-DBC01","Débardage par câble","DB BI RX FD ST PRIX P95",17,"STR",138,2024-05-15,138,2346,293,"DEBARDAGE"
"2022-2024","MS37_lot2",4501611621,1,8455,845514,40,"04-EXPL-DBC01","Débardage par câble","DB BO RX FD ST PRIX P67",13.5,"M3",670,2024-06-10,200,2700,300,"DEBARDAGE"
"2022-2024","MS37_lot2",4501611621,1,8455,845514,40,"04-EXPL-DBC01","Débardage par câble","DB BO RX FD ST PRIX P67",13.5,"M3",670,2024-07-11,470,6345,301,"DEBARDAGE"
"2022-2024","MS37_lot2",4501611621,1,8455,845514,60,"04-EXPL-DBC01","Débardage par câble","DB BI RX FD ST PRIX P67",13.5,"STR",1713,2024-06-10,350,4725,304,"DEBARDAGE"
"2022-2024","MS37_lot2",4501611621,1,8455,845514,60,"04-EXPL-DBC01","Débardage par câble","DB BI RX FD ST PRIX P67",13.5,"STR",1713,2024-07-11,1363,18400.5,305,"DEBARDAGE"
"2022-2024","MS37_lot2",4501611621,1,8455,845514,80,"04-EXPL-DBC01","Débardage par câble","DB BO RX FD ST PRIX P95",17,"M3",127,2024-05-15,127,2159,307,"DEBARDAGE"
"2022-2024","MS37_lot2",4501611621,1,8455,845514,100,"04-EXPL-DBC01","Débardage par câble","DB BI RX FD ST PRIX P95",17,"STR",138,2024-05-15,138,2346,309,"DEBARDAGE"
"2022-2024","MS38",4501595952,3,8355,835509,10,"04-EXPL-DBC01","Débardage par câble","CHATEAUROUX P 221",18,"M3",1600,2024-02-20,400,7200,310,"DEBARDAGE"
"2022-2024","MS38",4501595952,3,8355,835509,10,"04-EXPL-DBC01","Débardage par câble","CHATEAUROUX P 221",18,"M3",1600,2024-04-04,595.849,10725.28,311,"DEBARDAGE"
"2022-2024","MS40",4700274497,7,8670,867006,30,"04-EXPL-DBC01","Débardage par câble","DEB FD MOYENMOUTIER P.63",24.5,"M3",760,2025-09-25,670,16415,318,"DEBARDAGE"
"2022-2024","MS40",4700274497,7,8670,867006,30,"04-EXPL-DBC01","Débardage par câble","DEB FD MOYENMOUTIER P.63",24.5,"M3",760,2025-11-13,250.33,6133.09,319,"DEBARDAGE"
"2022-2024","MS44",4501605994,3,8770,877000,40,"04-EXPL-DBC01","Débardage par câble","C_2024_JMO_01",16,"M3",430,2024-05-02,100,1600,337,"DEBARDAGE"
"2022-2024","MS44",4501605994,3,8770,877000,40,"04-EXPL-DBC01","Débardage par câble","C_2024_JMO_01",16,"M3",430,2024-06-18,330,5280,338,"DEBARDAGE"
"2022-2024","MS45",4501634356,1,8455,845514,40,"04-EXPL-DBC01","Débardage par câble","DB BO RX FD PLANOISE 58 59 67 73",20,"M3",1251,2024-10-14,500,10000,345,"DEBARDAGE"
"2022-2024","MS45",4501634356,1,8455,845514,40,"04-EXPL-DBC01","Débardage par câble","DB BO RX FD PLANOISE 58 59 67 73",20,"M3",1251,2024-11-08,300,6000,346,"DEBARDAGE"
"2022-2024","MS45",4501634356,1,8455,845514,40,"04-EXPL-DBC01","Débardage par câble","DB BO RX FD PLANOISE 58 59 67 73",20,"M3",1251,2024-12-13,451,9020,347,"DEBARDAGE"
"2022-2024","MS45",4501634356,1,8455,845514,60,"04-EXPL-DBC01","Débardage par câble","DB BI RX FD PLANOISE 58 59 67 73",27.8,"STR",300,2024-10-14,200,5560,350,"DEBARDAGE"
"2022-2024","MS45",4501634356,1,8455,845514,60,"04-EXPL-DBC01","Débardage par câble","DB BI RX FD PLANOISE 58 59 67 73",27.8,"STR",300,2024-11-08,100,2780,351,"DEBARDAGE"
"2022-2024","MS46",4501671426,2,8735,873505,40,"000000000001000384","Débardage","Débardage - tri - empillement",28,"M3",3840,2025-05-27,430,12040,359,"DEBARDAGE"
"2022-2024","MS46",4501671426,2,8735,873505,40,"000000000001000384","Débardage","Débardage - tri - empillement",28,"M3",3840,2025-06-25,400,11200,360,"DEBARDAGE"
"2022-2024","MS46",4501671426,2,8735,873505,40,"000000000001000384","Débardage","Débardage - tri - empillement",28,"M3",5760,2025-08-28,636.6,17824.8,361,"DEBARDAGE"
"2022-2024","MS48",4501624641,4,8835,883508,40,"04-EXPL-DBC01","Débardage par câble","VERGONZA - Débardage grumes",6.5,"M3",953,NA,NA,NA,374,"DEBARDAGE"
"2022-2024","MS49",4501641317,8,8455,845507,40,"04-EXPL-DBC01","Débardage par câble","25//DB BO FEU FD CITEAUX P135",12,"M3",510.565,2025-03-19,460,5520,381,"DEBARDAGE"
"2022-2024","MS49",4501641317,8,8455,845507,40,"04-EXPL-DBC01","Débardage par câble","25//DB BO FEU FD CITEAUX P135",12,"M3",510.565,2025-05-12,50.565,606.78,382,"DEBARDAGE"
"2022-2024","MS49",4501641317,8,8455,845507,60,"04-EXPL-DBC01","Débardage par câble","25//DB BO FEU FD CITEAUX P216",12,"M3",354.02,2025-05-12,354.02,4248.24,385,"DEBARDAGE"
"2022-2024","MS50",4700264087,9,8681,868104,10,"04-EXPL-DBC01","Débardage par câble","Débardage par câble",30,"M3",7500,2024-11-26,1500,45000,386,"DEBARDAGE"
"2022-2024","MS50",4700264087,9,8681,868104,10,"04-EXPL-DBC01","Débardage par câble","Débardage par câble",30,"M3",7500,2025-01-15,1300,39000,387,"DEBARDAGE"
"2022-2024","MS50",4700264087,9,8681,868104,10,"04-EXPL-DBC01","Débardage par câble","Débardage par câble",30,"M3",7500,2025-01-29,700,21000,388,"DEBARDAGE"
"2022-2024","MS50",4700264087,9,8681,868104,10,"04-EXPL-DBC01","Débardage par câble","Débardage par câble",30,"M3",7500,2025-02-25,1500,45000,389,"DEBARDAGE"
"2022-2024","MS50",4700264087,9,8681,868104,10,"04-EXPL-DBC01","Débardage par câble","Débardage par câble",30,"M3",7500,2025-03-14,500,15000,390,"DEBARDAGE"
"2022-2024","MS50",4700264087,9,8681,868104,10,"04-EXPL-DBC01","Débardage par câble","Débardage par câble",30,"M3",7500,2025-03-18,1500,45000,391,"DEBARDAGE"
"2022-2024","MS50",4700264087,9,8681,868104,10,"04-EXPL-DBC01","Débardage par câble","Débardage par câble",30,"M3",7500,2025-06-13,500,15000,392,"DEBARDAGE"
"2022-2024","MS50",4700275471,9,8681,868104,20,"04-EXPL-DBC01","Débardage par câble","FD La Croix Scaille8-9-11-12 DEB par CAB",30,"M3",3000,2025-06-19,1000,30000,401,"DEBARDAGE"
"2022-2024","MS51",4501625678,8,8440,844009,20,"04-EXPL-DBC01","Débardage par câble","Débard câble FD LEVIER1J P 12-57",12,"M3",871.227,2024-09-30,700,8400,404,"DEBARDAGE"
"2022-2024","MS51",4501625678,8,8440,844009,20,"04-EXPL-DBC01","Débardage par câble","Débard câble FD LEVIER1J P 12-57",12,"M3",871.227,2024-10-15,171.227,2054.72,405,"DEBARDAGE"
"2022-2024","MS52",4501634199,4,8805,880511,30,"04-EXPL-DBC01","Débardage par câble","24-127 SEILLON-Débard tri & rangemt prod",18.2,"M3",683.98,2025-03-18,683.98,12448.44,410,"DEBARDAGE"
"2022-2024","MS55",4501637680,3,8535,853501,30,"04-EXPL-DBC01","Débardage par câble","ODS2025/FON1 - CAB MAT - EU - P.3/4/7/10",17,"M3",1532.16,2025-02-12,700,11900,415,"DEBARDAGE"
"2022-2024","MS55",4501637680,3,8535,853501,30,"04-EXPL-DBC01","Débardage par câble","ODS2025/FON1 - CAB MAT - EU - P.3/4/7/10",17,"M3",1532.16,2025-05-26,832.16,14146.72,416,"DEBARDAGE"
"2022-2024","MS57",4501640594,8,8415,841522,20,"04-EXPL-DBC01","Débardage par câble","Débardage par câble - MS 57 FD CHAUX",13,"M3",1400,2025-05-11,195,2535,424,"DEBARDAGE"
"2022-2024","MS57",4501640594,8,8415,841522,20,"04-EXPL-DBC01","Débardage par câble","Débardage par câble - MS 57 FD CHAUX",13,"M3",1400,2025-05-20,160,2080,425,"DEBARDAGE"
"2022-2024","MS57",4501640594,8,8415,841522,20,"04-EXPL-DBC01","Débardage par câble","Débardage par câble - MS 57 FD CHAUX",13,"M3",1400,2025-06-13,108,1404,426,"DEBARDAGE"
"2022-2024","MS57",4501640594,8,8415,841522,40,"04-EXPL-DBC01","Débardage par câble","Débardage câble Bois nrj  MS57 FDCHAUX",13,"M3",1300,2025-05-11,150,1950,431,"DEBARDAGE"
"2022-2024","MS57",4501640594,8,8415,841522,40,"04-EXPL-DBC01","Débardage par câble","Débardage câble Bois nrj  MS57 FDCHAUX",13,"M3",1300,2025-05-20,170,2210,432,"DEBARDAGE"
"2022-2024","MS57",4501640594,8,8415,841522,70,"04-EXPL-DBC01","Débardage par câble","Débardage par câble - MS 57 FD CHAUX",13,"M3",440,2026-02-05,440,5720,438,"DEBARDAGE"
"2022-2024","MS57",4501640594,8,8415,841522,80,"04-EXPL-DBC01","Débardage par câble","Débardage câble Bois nrj  MS57 FDCHAUX",13,"M3",320,2026-02-05,320,4160,439,"DEBARDAGE"
"2022-2024","MS60",4700262980,2,8681,868113,10,"04-EXPL-DBC01","Débardage par câble","FD Signy l'Abbaye 17-18-19 DEB CABLE",18,"M3",1100,2024-12-05,500,9000,442,"DEBARDAGE"
"2022-2024","MS60",4700262980,2,8681,868113,10,"04-EXPL-DBC01","Débardage par câble","FD Signy l'Abbaye 17-18-19 DEB CABLE",18,"M3",1100,2025-01-22,400,7200,443,"DEBARDAGE"
"2022-2024","MS60",4700262980,2,8681,868113,10,"04-EXPL-DBC01","Débardage par câble","FD Signy l'Abbaye 17-18-19 DEB CABLE",18,"M3",1100,2025-02-25,200,3600,444,"DEBARDAGE"
"2022-2024","MS60",4700262980,2,8681,868113,20,"04-EXPL-DBC01","Débardage par câble","FD Signy l'Abbaye146-147-148-149-150-162",18,"M3",1220,NA,NA,NA,445,"DEBARDAGE"
"2022-2024","MS60",4700269232,2,8681,868113,10,"04-EXPL-DBC01","Débardage par câble","FD Signy l'Abbaye 15-17-18-19",18,"M3",1000,2025-03-04,693,12474,451,"DEBARDAGE"
"2022-2024","MS60",4700269232,2,8681,868113,10,"04-EXPL-DBC01","Débardage par câble","FD Signy l'Abbaye 15-17-18-19",18,"M3",1000,2025-06-02,167,3006,452,"DEBARDAGE"
"2022-2024","MS61",4501639634,8,8415,841522,20,"04-EXPL-DBC01","Débardage par câble","Débardage par câble - MS 61 FD CHAUX",14,"M3",1764,2024-11-28,250,3500,461,"DEBARDAGE"
"2022-2024","MS61",4501639634,8,8415,841522,20,"04-EXPL-DBC01","Débardage par câble","Débardage par câble - MS 61 FD CHAUX",14,"M3",1764,2024-12-17,100,1400,462,"DEBARDAGE"
"2022-2024","MS61",4501639634,8,8415,841522,20,"04-EXPL-DBC01","Débardage par câble","Débardage par câble - MS 61 FD CHAUX",14,"M3",1764,2025-02-03,240,3360,463,"DEBARDAGE"
"2022-2024","MS61",4501639634,8,8415,841522,20,"04-EXPL-DBC01","Débardage par câble","Débardage par câble - MS 61 FD CHAUX",14,"M3",1764,2025-02-27,240,3360,464,"DEBARDAGE"
"2022-2024","MS61",4501639634,8,8415,841522,20,"04-EXPL-DBC01","Débardage par câble","Débardage par câble - MS 61 FD CHAUX",14,"M3",1764,2025-05-20,400,5600,465,"DEBARDAGE"
"2022-2024","MS61",4501639634,8,8415,841522,20,"04-EXPL-DBC01","Débardage par câble","Débardage par câble - MS 61 FD CHAUX",14,"M3",1764,2025-05-23,137,1918,466,"DEBARDAGE"
"2022-2024","MS61",4501639634,8,8415,841522,20,"04-EXPL-DBC01","Débardage par câble","Débardage par câble - MS 61 FD CHAUX",14,"M3",1764,2025-10-03,397,5558,467,"DEBARDAGE"
"2022-2024","MS61",4501639634,8,8415,841522,40,"04-EXPL-DBC01","Débardage par câble","Débardage Câble Bois nrj- MS 61 FD CHAUX",14,"M3",1240,2024-11-28,250,3500,472,"DEBARDAGE"
"2022-2024","MS61",4501639634,8,8415,841522,40,"04-EXPL-DBC01","Débardage par câble","Débardage Câble Bois nrj- MS 61 FD CHAUX",14,"M3",1240,2024-12-17,200,2800,473,"DEBARDAGE"
"2022-2024","MS61",4501639634,8,8415,841522,40,"04-EXPL-DBC01","Débardage par câble","Débardage Câble Bois nrj- MS 61 FD CHAUX",14,"M3",1240,2025-02-03,200,2800,474,"DEBARDAGE"
"2022-2024","MS61",4501639634,8,8415,841522,40,"04-EXPL-DBC01","Débardage par câble","Débardage Câble Bois nrj- MS 61 FD CHAUX",14,"M3",1240,2025-02-27,190,2660,475,"DEBARDAGE"
"2022-2024","MS61",4501639634,8,8415,841522,40,"04-EXPL-DBC01","Débardage par câble","Débardage Câble Bois nrj- MS 61 FD CHAUX",14,"M3",1240,2025-05-20,400,5600,476,"DEBARDAGE"
"2025","MS1",4501667968,4,8835,883515,40,"04-EXPL-DBC01","Débardage par câble","D.ECLACH C Débardage",8.5,"M3",298,2025-04-28,262,2227,499,"DEBARDAGE"
"2025","MS2",4501675539,4,8835,883509,40,"04-EXPL-DBC01","Débardage par câble","MEZENC 26 -Débardage, tri, reprise",20,"M3",885.363,2025-07-21,650,13000,505,"DEBARDAGE"
"2025","MS2",4501675539,4,8835,883509,40,"04-EXPL-DBC01","Débardage par câble","MEZENC 26 -Débardage, tri, reprise",20,"M3",885.363,2025-12-11,235.363,4707.26,506,"DEBARDAGE"
"2025","MS3",4501691097,4,8835,883509,40,"04-EXPL-DBC01","Débardage par câble","LANDRIAC 7 Débardage, tri, reprise",15,"M3",470,2025-10-28,450,6750,510,"DEBARDAGE"
"2025","MS4",4501695237,4,8345,834503,20,"04-EXPL-DBC01","Débardage par câble","LARFEUIL P 68 E",22,"M3",800,2026-01-19,800,17600,513,"DEBARDAGE"
"2025","MS7",4501675578,11,8505,850510,50,"04-EXPL-DBC01","Débardage par câble","Débardage, tri, reprise - MS 7",14.5,"M3",1000,2025-07-10,300,4350,527,"DEBARDAGE"
"2025","MS7",4501675578,11,8505,850510,50,"04-EXPL-DBC01","Débardage par câble","Débardage, tri, reprise - MS 7",14.5,"M3",1000,2025-09-02,700,10150,528,"DEBARDAGE"
"2025","MS7",4501675578,11,8505,850510,140,"04-EXPL-DBC01","Débardage par câble","Débardage, tri, reprise - MS 7",14.5,"M3",2385.35,2025-12-12,2385.35,34587.58,536,"DEBARDAGE"
"2025","MS11",4501679242,8,8440,844001,20,"04-EXPL-DBC01","Débardage par câble","Débardage-grumes rsx FC LA CHENALOTTE",21,"M3",1400,2025-08-19,900,18900,541,"DEBARDAGE"
"2025","MS11",4501679242,8,8440,844001,20,"04-EXPL-DBC01","Débardage par câble","Débardage-grumes rsx FC LA CHENALOTTE",21,"M3",1400,2025-09-22,430,9030,542,"DEBARDAGE"
"2025","MS12",4501668554,8,8440,844001,20,"04-EXPL-DBC01","Débardage par câble","Débard rep cable mat FC BERTHERLANGE P13",20,"M3",641.5,2025-06-13,436,8720,549,"DEBARDAGE"
"2025","MS12",4501668554,8,8440,844001,20,"04-EXPL-DBC01","Débardage par câble","Débard rep cable mat FC BERTHERLANGE P13",20,"M3",641.5,2025-09-22,205.5,4110,550,"DEBARDAGE"
"2025","MS14",4700283007,1,8693,869308,40,"04-EXPL-DBC01","Débardage par câble","Débardage par câble",37,"M3",100,2025-12-15,100,3700,556,"DEBARDAGE"
"2025","MS15_lot1",4700276485,1,8692,869206,30,"04-EXPL-DBC01","Débardage par câble","Débardage par câble",20,"M3",1350,2025-08-26,400,8000,563,"DEBARDAGE"
"2025","MS15_lot1",4700276485,1,8692,869206,30,"04-EXPL-DBC01","Débardage par câble","Débardage par câble",20,"M3",1350,2025-10-16,400,8000,564,"DEBARDAGE"
"2025","MS15_lot1",4700276485,1,8692,869206,30,"04-EXPL-DBC01","Débardage par câble","Débardage par câble",20,"M3",1350,2025-11-18,620.47,12409.4,565,"DEBARDAGE"
"2025","MS15_lot1",4700276485,1,8692,869206,40,"04-EXPL-DBC01","Débardage par câble","Débardage par câble",18,"M3",500,2025-11-04,200,3600,566,"DEBARDAGE"
"2025","MS15_lot1",4700276485,1,8692,869206,40,"04-EXPL-DBC01","Débardage par câble","Débardage par câble",18,"M3",500,2025-11-18,490.18,8823.24,567,"DEBARDAGE"
"2025","MS15_lot2",4700276485,1,8692,869206,30,"04-EXPL-DBC01","Débardage par câble","Débardage par câble",20,"M3",1350,2025-08-26,400,8000,580,"DEBARDAGE"
"2025","MS15_lot2",4700276485,1,8692,869206,30,"04-EXPL-DBC01","Débardage par câble","Débardage par câble",20,"M3",1350,2025-10-16,400,8000,581,"DEBARDAGE"
"2025","MS15_lot2",4700276485,1,8692,869206,30,"04-EXPL-DBC01","Débardage par câble","Débardage par câble",20,"M3",1350,2025-11-18,620.47,12409.4,582,"DEBARDAGE"
"2025","MS15_lot2",4700276485,1,8692,869206,40,"04-EXPL-DBC01","Débardage par câble","Débardage par câble",18,"M3",500,2025-11-04,200,3600,583,"DEBARDAGE"
"2025","MS15_lot2",4700276485,1,8692,869206,40,"04-EXPL-DBC01","Débardage par câble","Débardage par câble",18,"M3",500,2025-11-18,490.18,8823.24,584,"DEBARDAGE"
"2025","MS17",4501692460,12,8325,832503,40,"04-EXPL-DBC01","Débardage par câble","LANDES DE LANVAUX P 32C-33C-34C-35C",29,"M3",1735,2025-12-01,450,13050,599,"DEBARDAGE"
