"ACCORD_CADRE","ID_CHANTIER","NUM_SAP","NUM_ETF","AGENCE","CENTRE_PROFIT","POSTE","ARTICLE","LIBELLE_ARTICLE","LIBELLE_POSTE","PU_COMMANDE","UNITE","QUANTITE_COMMANDE","DATE_RECEPTION","QUANTITE_RECEPTION","MONTANT_RECEPTION","ID_LIGNE","TYPE_TRAVAUX"
"2022-2024","MS27","4501589705",4,8450,845009,50,"04-EXPL-AST01","Abattage-façonnage de grumes","AB GR R FD BREUIL P50",7.5,"M3",2610.48,2024-03-29,305.24,2289.31,181,"ABATTAGE"
"2022-2024","MS29","4501583760",3,8425,842536,70,"04-EXPL-AST01","Abattage-façonnage de grumes","Abattage-façonnage de grumes",11,"M3",1023,2023-12-30,511,5621,191,"ABATTAGE"
"2022-2024","MS29","4501583760",3,8425,842536,70,"04-EXPL-AST01","Abattage-façonnage de grumes","Abattage-façonnage de grumes",11,"M3",1023,2024-01-29,-511,-5621,192,"ABATTAGE"
"2022-2024","MS29","4501583760",3,8425,842536,70,"04-EXPL-AST01","Abattage-façonnage de grumes","Abattage-façonnage de grumes",11,"M3",2046,2024-02-07,714.65,7861.15,193,"ABATTAGE"
"2022-2024","MS29","4501583760",3,8425,842536,70,"04-EXPL-AST01","Abattage-façonnage de grumes","Abattage-façonnage de grumes",11,"M3",1023,2024-03-27,144.8,1592.8,194,"ABATTAGE"
"2022-2024","MS30","4700246171",1,8693,869303,10,"04-EXPL-AST01","Abattage-façonnage de grumes","Abattage-façonnage de grumes",8,"M3",2000,2024-03-22,450,3600,203,"ABATTAGE"
"2022-2024","MS30","4700246171",1,8693,869303,10,"04-EXPL-AST01","Abattage-façonnage de grumes","Abattage-façonnage de grumes",8,"M3",2000,2024-04-11,400,3200,204,"ABATTAGE"
"2022-2024","MS30","4700246171",1,8693,869303,10,"04-EXPL-AST01","Abattage-façonnage de grumes","Abattage-façonnage de grumes",8,"M3",2000,2024-06-13,300,2400,205,"ABATTAGE"
"2022-2024","MS30","4700246171",1,8693,869303,10,"04-EXPL-AST01","Abattage-façonnage de grumes","Abattage-façonnage de grumes",8,"M3",2000,2024-08-26,64,512,206,"ABATTAGE"
"2022-2024","MS31_lot1","4501588924",6,8320,832009,10,"04-EXPL-AST01","Abattage-façonnage de grumes","GAVRE P 33-89-98",23,"M3",121.861,2024-02-21,121.861,2802.8,215,"ABATTAGE"
"2022-2024","MS31_lot1","4501588924",6,8320,832009,20,"04-EXPL-AST01","Abattage-façonnage de grumes","GAVRE P 33-89-98",25,"M3",791.935,2024-02-21,614.935,15373.38,216,"ABATTAGE"
"2022-2024","MS31_lot1","4501588924",6,8320,832009,20,"04-EXPL-AST01","Abattage-façonnage de grumes","GAVRE P 33-89-98",25,"M3",791.935,2024-03-13,177,4425,217,"ABATTAGE"
