ID_CHANTIER,ACCORD_CADRE,NUM_ETF,TYPE_OP,DATE_RECEPTION,QUANTITE_RECEPTION,DATE_PREC,JOURS_CALENDAIRES,JOURS_TRAVAILLES,VITESSE_MOY_JOUR_M3,TYPE_VITESSE,JOURS_TRAVAILLES_AVEC_MONTAGE,VOL_REF,TYPE_CHANTIER,ANNEE,VOL_TOT_ANNUEL_M3,NB_CHANTIERS,debut,fin
MS57,2022-2024,8,CVar_CABLE_ABATTAGE,2025-05-20,160,2025-05-11,9,6.428571428571429,24.88888888888889,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS57,2022-2024,8,CVar_CABLE_ABATTAGE,2025-06-13,108,2025-05-20,24,17.142857142857142,6.3,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS57,2022-2024,8,CVar_CABLE_ABATTAGE,2025-12-22,130,2025-12-15,7,5,26,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS57,2022-2024,8,CVar_CABLE_DEBARDAGE,2026-02-05,440,2025-12-22,45,32.142857142857146,13.688888888888888,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS60,2022-2024,2,CVar_CABLE_DEBARDAGE,2025-01-22,400,2024-12-05,48,34.285714285714285,11.666666666666668,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS60,2022-2024,2,CVar_CABLE_DEBARDAGE,2025-02-25,200,2025-01-22,34,24.285714285714285,8.23529411764706,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS60,2022-2024,2,CVar_CABLE_DEBARDAGE,2025-03-04,693,2025-02-25,7,5,138.6,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS61,2022-2024,8,CVar_CABLE_ABATTAGE,2024-12-17,260,2024-11-28,19,13.571428571428571,19.157894736842106,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS61,2022-2024,8,CVar_CABLE_ABATTAGE,2025-02-03,320,2024-12-17,48,34.285714285714285,9.333333333333334,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS61,2022-2024,8,CVar_CABLE_DEBARDAGE,2025-02-27,240,2025-02-03,24,17.142857142857142,14,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS61,2022-2024,8,CVar_CABLE_ABATTAGE,2025-04-03,400,2025-02-27,35,25,16,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS61,2022-2024,8,CVar_CABLE_DEBARDAGE,2025-05-20,400,2025-04-03,47,33.57142857142857,11.914893617021278,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS61,2022-2024,8,CVar_CABLE_ABATTAGE,2025-05-23,137,2025-05-20,3,2.142857142857143,63.93333333333334,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS64,2022-2024,4,CVar_CABLE_ABATTAGE,2025-03-27,200,2025-03-06,21,15,13.333333333333334,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
