ID_CHANTIER,ACCORD_CADRE,VOL_REEL_ABA_M3,COUT_ABA_M3,VOL_REEL_DEB_M3,COUT_DEB_M3,VOL_REEL_ABADEB_M3,COUT_ABADEB_M3,VOL_REF,COUT_MONTAGE_M3,COUT_MONTAGE_TOTAL,COUT_TRANSFERT_M3,COUT_TRANSFERT_TOTAL,COUT_VARIABLES_M3,COUT_VARIABLES_TOT,COUT_FIXES_M3,COUT_FIXES_TOT,TARIF_PRESTA_M3,TARIF_PRESTA_SANS_ABA_M3,TARIF_PRESTA_SANS_TRANSFERT_M3,TARIF_PRESTA_SANS_ABA_TRANSFERT_M3
MS33,2022-2024,NA,NA,577.55,16,NA,NA,577.55,19.045970045883475,11000,7.791533200588694,4500,NA,NA,26.83750324647217,15500,NA,42.83750324647217,NA,35.04597004588348
MS34,2022-2024,1500,16,1500,23.5,NA,NA,1500,8.6,12900,5.666666666666667,8500,39.5,59250,14.266666666666666,21400,53.766666666666666,37.766666666666666,48.1,32.1
MS35,2022-2024,NA,NA,2100,21.3,NA,NA,2100,12.152380952380952,25520,1.4285714285714286,3000,NA,NA,13.58095238095238,28520,NA,34.88095238095238,NA,33.45238095238095
MS37_lot1,2022-2024,2648,13.850264350453172,2648,13.850264350453172,NA,NA,2648,4.493957703927492,11900,2.6435045317220545,7000,27.700528700906343,73351,7.137462235649547,18900,34.83799093655589,20.987726586102717,32.19448640483384,18.344222054380666
MS37_lot2,2022-2024,2648,13.850264350453172,2648,13.850264350453172,NA,NA,2648,4.493957703927492,11900,2.6435045317220545,7000,27.700528700906343,73351,7.137462235649547,18900,34.83799093655589,20.987726586102717,32.19448640483384,18.344222054380666
MS38,2022-2024,NA,NA,995.849,17.999997991663392,NA,NA,995.849,16.870027484086442,16800,4.518757361808868,4500,NA,NA,21.38878484589531,21300,NA,39.3887828375587,NA,34.870025475749834
MS38,2025,NA,NA,NA,NA,200,29,200,10,2000,14.85,2970,29,5800,24.85,4970,53.85,NA,39,NA
MS39,2025,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA
MS4,2022-2024,800,12,800,15,NA,NA,800,5,4000,4.625,3700,27,21600,9.625,7700,36.625,24.625,32,20
MS4,2025,1200,9,800,22,NA,NA,800,3.125,2500,NA,NA,31,24800,NA,NA,NA,NA,34.125,25.125
MS40,2025,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA
