"ID_CHANTIER","ACCORD_CADRE","DEP","FRT","NUM_ETF","DEBUT_CHANTIER","FIN_CHANTIER","VOL_PREVU","NB_LIGNES","LONGUEUR_MIN","LONGUEUR_MAX","LONGUEUR_MOY","VOL_REEL_ABA_M3","COUT_ABA_M3","VOL_REEL_DEB_M3","COUT_DEB_M3","VOL_REEL_ABADEB_M3","COUT_ABADEB_M3","VOL_REF","COUT_MONTAGE_M3","COUT_MONTAGE_TOTAL","COUT_TRANSFERT_M3","COUT_TRANSFERT_TOTAL","COUT_VARIABLES_M3","COUT_VARIABLES_TOT","COUT_FIXES_M3","COUT_FIXES_TOT","TARIF_PRESTA_M3","TARIF_PRESTA_SANS_ABA_M3","TARIF_PRESTA_SANS_TRANSFERT_M3","TARIF_PRESTA_SANS_ABA_TRANSFERT_M3","NB_GRUMES","DIAM_MOY","VOL_MOYEN_GRUME","G_TOT_CUT","ESSENCE_MAJ","VOL_HA_MOY","HA_DES_TOT","FAMILLE_COUPE","PEUPLEMENT_STR","ALTITUDE_MOY","PENTE_MOY","ALTITUDE_CENTROIDE","TYPE_CHANTIER"
"MS32","2022-2024","85","Forêt domaniale de Mervent",6,2023-12-18,2024-02-13,815,7,230,390,310,NA,NA,NA,NA,960.101,25.0000052077854,960.101,10.9363494049064,10500,7.29089960327091,7000,25.0000052077854,24002.53,18.2272490081773,17500,43.2272542159627,NA,35.9363546126918,NA,225,53.2222222222222,2.64999111111111,50.914,"Chêne sessile ou pédonculé",43.19,18.86,"Famille coupes sanitaires","futaie régulière",103.508674621582,2.29263997077942,101.870002746582,"Plaine"
"MS33","2022-2024","77","Forêt domaniale de Villefermoy",3,2024-03-04,2024-06-17,770,5,370,430,400,NA,NA,577.55,16,NA,NA,577.55,19.0459700458835,11000,7.79153320058869,4500,NA,NA,26.8375032464722,15500,NA,42.8375032464722,NA,35.0459700458835,82,75.7317073170732,4.82812195121952,38.498,"Chêne sessile ou pédonculé",43.6,17.54,"Famille Régénération","taillis sous futaie",111.311668395996,0.694021284580231,112.569999694824,"Plaine"
"MS34","2022-2024","63","Forêt départementale de la Vallée Du Fossat",4,2024-12-06,2025-11-18,2000,3,500,750,625,1500,16,1500,23.5,NA,NA,1500,8.6,12900,5.66666666666667,8500,39.5,59250,14.2666666666667,21400,53.7666666666667,37.7666666666667,48.1,32.1,1,25,0.43,0.049,"Epicéa commun",0.13,3.8,"Famille Régénération","futaie régulière",1298.5283203125,16.4263572692871,1289.26000976562,"Montagne"
"MS35","2022-2024","19","Forêt sectionale de la Valade Et La Chanselve",4,2024-03-12,2024-07-11,1240,11,105,190,147.5,NA,NA,2100,21.3,NA,NA,2100,12.152380952381,25520,1.42857142857143,3000,NA,NA,13.5809523809524,28520,NA,34.8809523809524,NA,33.452380952381,1415,30.1766784452297,0.879788692579499,118.493,"Douglas",204.235,5.3,"Famille Amélioration","futaie régulière",518.82763671875,23.5021476745605,547.659973144531,"Plaine"
"MS37_lot1","2022-2024","71","Forêt domaniale de Saint-Prix",1,2024-05-15,2024-07-11,1820,5,110,250,180,2648,13.8502643504532,2648,13.8502643504532,NA,NA,2648,4.49395770392749,11900,2.64350453172205,7000,27.7005287009063,73351,7.13746223564955,18900,34.8379909365559,20.9877265861027,32.1944864048338,18.3442220543807,3137,27.2633088938476,0.580975454255658,191.356,"Epicéa commun",364.5,5.5,"Famille Régénération","futaie régulière",331.228729248047,4.12342691421509,326.679992675781,"Plaine"
"MS37_lot2","2022-2024","71","Forêt domaniale de Saint-Prix",1,2024-05-15,2024-07-11,280,2,210,220,215,2648,13.8502643504532,2648,13.8502643504532,NA,NA,2648,4.49395770392749,11900,2.64350453172205,7000,27.7005287009063,73351,7.13746223564955,18900,34.8379909365559,20.9877265861027,32.1944864048338,18.3442220543807,313,30.7987220447284,0.913300319488815,25.935,"Epicéa commun",20.35,15.45,"Famille coupes sanitaires","futaie régulière",766.828247070312,4.89899492263794,766.200012207031,"Montagne"
"MS38","2022-2024","36","Forêt domaniale de Châteauroux",3,2024-02-20,2024-04-04,1600,6,380,380,380,NA,NA,995.849,17.9999979916634,NA,NA,995.849,16.8700274840864,16800,4.51875736180887,4500,NA,NA,21.3887848458953,21300,NA,39.3887828375587,NA,34.8700254757498,1612,28.1668734491315,0.766658188585625,132.030000000002,"Feuillu dur",37.04,49.44,"Famille Coupes Produits Accidentels","Futaie sur souche ou TSF en conversion",160.243774414062,3.17655491828918,154.800003051758,"Plaine"
"MS40","2022-2024","88","Forêt domaniale de Moyenmoutier",7,2025-09-25,2025-11-13,760,5,150,345,247.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262,50.5152671755725,2.89771374045801,54.561,"Sapin pectiné",146.45,5.76,"Famille Irréguliers","futaie régulière",481.818603515625,20.2102813720703,498.049987792969,"Plaine"
"MS41","2022-2024","19","Forêt domaniale de Larfeuil",4,2025-01-22,2025-08-07,1750,4,150,240,195,NA,NA,NA,NA,1734,28,1734,6.11303344867359,10600,7.20876585928489,12500,28,48552,13.3217993079585,23100,41.3217993079585,NA,34.1130334486736,NA,1518,34.631093544137,1.15754216073781,166.501,"Epicéa de sitka",492.623333333333,3.85,"Famille Régénération","futaie régulière",885.774963378906,5.44941186904907,875,"Montagne"
"MS45","2022-2024","71","Forêt domaniale de Planoise",1,2024-10-14,2024-12-13,1989,3,190,525,357.5,1551,8.59961315280464,1551,21.5087040618955,NA,NA,1551,3.28820116054159,5100,4.51321727917473,7000,30.1083172147002,46698,7.80141843971631,12100,37.9097356544165,29.3101225016119,33.3965183752418,24.7969052224371,2160,30.75,0.913940277777778,176.628,"Epicéa commun",342.9675,6.77,"Famille Régénération","futaie régulière",590.935729980469,1.54452180862427,589.640014648438,"Plaine"
"MS46","2022-2024","05","Forêt domaniale du Pouzenc",2,2025-05-27,2025-08-28,1920,5,510,575,542.5,1466.6,15,1466.6,28,NA,NA,1466.6,10.2277376244375,15000,1.02277376244375,1500,43,63063.8,11.2505113868812,16500,54.2505113868812,39.2505113868812,53.2277376244375,38.2277376244375,3204,30.5758426966292,0.598422596754059,238.792000000001,"Mélèze d'europe",104.42,20.79,"Famille Irréguliers","futaie irrégulière",2116.83032226562,29.8851299285889,2142.2099609375,"Montagne"
"MS47","2022-2024","73","Forêt domaniale R.T.M. Grand-Arc",3,2024-05-24,2025-01-20,1383,3,282,624,453,NA,NA,NA,NA,1815.58,48,1815.58,8.26182266823825,15000,5.5078817788255,10000,48,87147.84,13.7697044470637,25000,61.7697044470637,NA,56.2618226682383,NA,909,50.8635863586359,2.5830209020902,195.625,"Epicéa commun",129.14,20.03,"Famille coupes sanitaires","futaie irrégulière",1287.28210449219,29.3263740539551,1301.15002441406,"Montagne"
"MS48","2022-2024","43","Forêt sectionale de Vergonzac",4,2024-09-16,2024-09-16,685,3,135,220,177.5,NA,NA,0,NA,773.18,19.5,773.18,9.70019917742311,7500,5.43211153935694,4200,19.5,15077.01,15.1323107167801,11700,34.6323107167801,NA,29.2001991774231,NA,641,35.3432137285491,1.06926833073323,69.7750000000002,"Sapin pectiné",318.85,2.68,"Famille Régénération","futaie irrégulière",979.266357421875,27.8619346618652,978.280029296875,"Montagne"
"MS49","2022-2024","21","Forêt domaniale de Citeaux",8,2025-02-26,2025-05-12,1035,6,180,420,300,864.585,12,864.585,12,NA,NA,864.585,13.1855167508111,11400,2.42891098041257,2100,24,20750.04,15.6144277312236,13500,39.6144277312236,27.6144277312236,37.1855167508111,25.1855167508111,203,71.6502463054187,3.77377832512315,84.1629999999999,"Chêne sessile ou pédonculé",66.58,19.87,"Famille Régénération","Futaie sur souche ou TSF en conversion",222.915496826172,0.827491223812103,220.639999389648,"Plaine"
"MS50","2022-2024","08","Forêt domaniale de La Croix-Scaille",9,2024-11-26,2025-06-19,7500,10,440,550,495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2936,40.9877384196185,1.53735933242507,406.376,"Epicéa commun",94.2225,53.14,"Famille Coupes Produits Accidentels","futaie régulière",467.097229003906,3.61573100090027,467.269989013672,"Plaine"
"MS51","2022-2024","25","Forêt domaniale de Levier Jura",8,2024-09-30,2024-10-15,786,4,330,420,375,871.227,15.0000057390324,871.227,11.9999954087741,NA,NA,871.227,8.72332928157644,7600,1.37736778130154,1200,27.0000011478065,23523.13,10.100697062878,8800,37.1006982106845,22.100692471652,35.7233304293829,20.7233246903505,445,50.1573033707865,2.68818426966291,94.0739999999998,"Sapin pectiné",89.165,14.78,"Famille Irréguliers","futaie irrégulière",733.973266601562,5.04182481765747,740.609985351562,"Montagne"
"MS52","2022-2024","01","Forêt domaniale de Seillon",4,2025-02-20,2025-03-18,650,2,430,450,440,NA,NA,683.98,18.2000058481242,NA,NA,683.98,11.1845375595778,7650,5.11710868738852,3500,NA,NA,16.3016462469663,11150,NA,34.5016520950905,NA,29.384543407702,141,58.4397163120567,3.42941843971631,42.278,"Chêne sessile ou pédonculé",57.96,13.06,"Famille Régénération","futaie régulière",251.400451660156,1.74860429763794,250.570007324219,"Plaine"
