"ID_CHANTIER","DEP","FRT","VOL_PREVU","NB_LIGNES","LONGUEUR_MIN","LONGUEUR_MAX","COUT_DEB_M3","COUT_ABA_M3","COUT_MONTAGE_TOTAL","COUT_MONTAGE_M3","COUT_TRANSFERT_TOTAL","VOL_REEL_M3","COUT_TRANSFERT_M3","DIAM_MOY","VOL_MOYEN_GRUME","PRIX_VENTE_MOY","NB_GRUMES","G_TOT_MOY","VOL_HA_MOY","HA_DES_TOT","NB_TIGES_CONT","ESSENCE_DOM","PEUPLEMENT_MODE","DEBUT_CHANTIER","FIN_CHANTIER","DEBUT_PREVU","FIN_PREVU","NB_LIGNES_TOTAL","JOURS_TOTAL","JOURS_EFFECTIFS","COUT_VARIABLES_M3","COUT_FIXES_M3","TARIF_PRESTA_M3","LONGUEUR_MOY","altitude_centroide","altitude_moy","pente_moy","VITESSE_DEBARDAGE_M3_JOUR"
"MS41","19","Forêt domaniale de Larfeuil",1750,4,150,240,NA,28,10600,6.11303344867359,12500,1734,7.20876585928489,45.5,1.12450265486726,44.0939871152471,2826,50.464,449.275,5.85,1709,"EPICEA DE SITKA","futaie régulière",20110,20307,19828,20027,4,198,135.714285714286,NA,13.3217993079585,NA,195,668.299987792969,769.269104003906,5.89456844329834,12.7768421052632
"MS44","06","Forêt communale de la Bollène-Vésubie",580,3,190,300,16,12,6000,6.97674418604651,2000,860,2.32558139534884,NA,NA,NA,1,74.1423333333333,85.0133333333333,34.95,1939,"Sapin>50% et Epicea 20/50%","futaie irrégulière",19845,19892,19800,19889,3,48,30,28,9.30232558139535,37.3023255813954,245,733.72998046875,751.484985351562,24.2467517852783,28.6666666666667
"MS45","71","Forêt domaniale de Planoise",1989,3,190,525,20,8,5100,2.03836930455636,7000,2502,2.79776179056755,49.524064171123,6.06994696969697,443.809799772861,529,33.122,191.31375,49.36,2545,"CHENES INDIGENES","futaie régulière",20010,20070,19877,20042,3,61,39.2857142857143,28,4.8361310951239,32.8361310951239,357.5,127.080001831055,227.315338134766,2.88544535636902,63.6872727272727
"MS46","05","Forêt domaniale du Pouzenc",1920,5,510,575,28,15,NA,NA,NA,2933.2,NA,NA,70.2484210526316,5453.81368421053,19,119.3935,104.42,20.79,3204,"Mélèze d'europe","futaie irrégulière",20235,20328,19828,20042,5,94,60,43,NA,NA,542.5,2142.2099609375,2116.83032226562,29.8851299285889,48.8866666666667
"MS47","73","Forêt domaniale R.T.M. Grand-Arc",1383,3,282,624,NA,48,15000,8.26182266823825,10000,1815.58,5.5078817788255,26.8013071895425,1.43640060015004,75.1253615520282,1333,81.3993333333333,101.19,32.89,1794,"EPICEA COMMUN","futaie irrégulière",19867,20108,19814,19919,3,242,168.571428571429,NA,13.7697044470637,NA,453,498.489990234375,895.417663574219,18.8484134674072,10.7703898305085
"MS48","43","Forêt sectionale de Vergonzac",685,3,135,220,NA,19.5,7500,9.70019917742311,4200,773.18,5.43211153935694,34.25,2.46811316397229,313.691,433,69.773,318.85,2.68,641,"SAPIN PECTINE","futaie irrégulière",19982,19982,19905,20042,3,1,-3.57142857142857,NA,15.1323107167801,NA,177.5,978.280029296875,979.266357421875,27.8619346618652,NA
"MS49","21","Forêt domaniale de Citeaux",1035,6,180,420,12,12,11400,6.59275837540554,2100,1729.17,1.21445549020628,NA,117.45,NA,5,70.64125,67.06,52.84,2985,"CHENE ROUVRES OU PEDONCULE","futaie régulière",20145,20220,20038,20162,6,76,45.7142857142857,24,7.80721386561182,31.8072138656118,300,228.199996948242,980.290100097656,20.7965469360352,37.82559375
"MS50","08","Forêt domaniale de La Croix-Scaille",7500,10,440,550,30,10,NA,NA,NA,17000,NA,46.2236842105263,53.2318230088496,2187.12794117647,114,71.1237142857143,84.2828571428571,69.34,3536,"EPICEA COMMUN","futaie régulière",20053,20258,19954,20162,10,206,132.857142857143,40,NA,NA,495,544.159973144531,1008.51776123047,22.1257839202881,127.956989247312
"MS51","25","Forêt domaniale de Levier Jura",786,4,330,420,11.9999954087741,15.0000057390324,7600,4.36166464078822,1200,1742.454,0.688683890650772,39.8597972972973,1.29466554054054,90.9576351351351,593,76.7365,75.51,74.28,1599,"AUTRES RESINEUX","futaie irrégulière",19996,20011,19933,20042,4,16,5.71428571428571,27.0000011478065,5.05034853143899,32.0503496792455,375,192.529998779297,1175.90405273438,28.5775146484375,304.92945
"MS52","01","Forêt domaniale de Seillon",650,2,430,450,18.2000058481242,NA,7650,11.1845375595778,3500,683.98,5.11710868738852,55.5875299760192,1.58142446043165,643.343837638376,419,72.5446,107.398,48.43,3501,"Provisoire","Non déterminé",20139,20165,20045,20162,2,27,16.4285714285714,NA,16.3016462469663,NA,440,822.25,420.452728271484,20.9002590179443,41.6335652173913
