ACCORD_CADRE,ID_CHANTIER,NUM_SAP,NUM_ETF,AGENCE,CENTRE_PROFIT,POSTE,ARTICLE,LIBELLE_ARTICLE,LIBELLE_POSTE,PU_COMMANDE,UNITE,QUANTITE_COMMANDE,DATE_RECEPTION,QUANTITE_RECEPTION,MONTANT_RECEPTION,ID_LIGNE,TYPE_TRAVAUX
2022-2024,MS10_lot1,4501547859,3,8835,883505,20,04-EXPL-DBC03,Exploitation - Montage/démontage câble,AYGUEBON 4U 7U - Montage/démontage câble,1666.67,U,9,2023-07-24,3,5000.01,NA,MONTAGE
2022-2024,MS10_lot2,4501547849,1,8835,883505,20,04-EXPL-DBC03,Exploitation - Montage/démontage câble,AYGUEBON 4U 7U - Montage/démontage câble,2142.86,/FO,7,2023-05-02,2,4285.72,NA,MONTAGE
2022-2024,MS10_lot2,4501547849,1,8835,883505,20,04-EXPL-DBC03,Exploitation - Montage/démontage câble,AYGUEBON 4U 7U - Montage/démontage câble,2142.86,/FO,7,2023-05-16,1,2142.86,NA,MONTAGE
2022-2024,MS10_lot2,4501547849,1,8835,883505,20,04-EXPL-DBC03,Exploitation - Montage/démontage câble,AYGUEBON 4U 7U - Montage/démontage câble,2142.86,/FO,7,2023-06-02,1,2142.86,NA,MONTAGE
2022-2024,MS10_lot2,4501547849,1,8835,883505,20,04-EXPL-DBC03,Exploitation - Montage/démontage câble,AYGUEBON 4U 7U - Montage/démontage câble,2142.86,/FO,7,2023-06-23,1,2142.86,NA,MONTAGE
2022-2024,MS10_lot2,4501547849,1,8835,883505,20,04-EXPL-DBC03,Exploitation - Montage/démontage câble,AYGUEBON 4U 7U - Montage/démontage câble,2142.86,/FO,7,2023-06-30,1,2142.86,NA,MONTAGE
2022-2024,MS10_lot2,4501547849,1,8835,883505,20,04-EXPL-DBC03,Exploitation - Montage/démontage câble,AYGUEBON 4U 7U - Montage/démontage câble,2142.86,/FO,7,2023-07-24,1,2142.86,NA,MONTAGE
2022-2024,MS18,4700236917,1,8670,867009,30,04-EXPL-DBC03,Exploitation - Montage/démontage câble,Mont./démont. câble FD SMB 159 153 154,1300,U,18,2023-10-20,6,7800,NA,MONTAGE
2022-2024,MS18,4700236917,1,8670,867009,30,04-EXPL-DBC03,Exploitation - Montage/démontage câble,Mont./démont. câble FD SMB 159 153 154,1300,U,18,2023-12-13,6,7800,NA,MONTAGE
2022-2024,MS18,4700236917,1,8670,867009,30,04-EXPL-DBC03,Exploitation - Montage/démontage câble,Mont./démont. câble FD SMB 159 153 154,1300,U,18,2024-08-13,4,5200,NA,MONTAGE
2022-2024,MS18,4700236917,1,8670,867009,30,04-EXPL-DBC03,Exploitation - Montage/démontage câble,Mont./démont. câble FD SMB 159 153 154,1300,U,18,2024-09-26,1,1300,NA,MONTAGE
2022-2024,MS19_lot1,4501572577,3,8440,844009,40,04-EXPL-DBC03,Exploitation - Montage/démontage câble,Exploit mont démont cable FDLEVIER1J,3955,U,1,2023-12-14,1,3955,NA,MONTAGE
2022-2024,MS19_lot2,4501572572,3,8440,844009,40,04-EXPL-DBC03,Exploitation - Montage/démontage câble,Exploit mont démont cable FDLEVIER3S,6700,U,1,2023-10-02,1,6700,NA,MONTAGE
2022-2024,MS20,4501619216,4,8835,883503,30,04-EXPL-DBC03,Exploitation - Montage/démontage câble,STJULI63-Montage/Démontage câble,4200,U,1,2024-06-17,1,4200,NA,MONTAGE
2022-2024,MS21,4501617505,4,8835,883503,20,04-EXPL-DBC03,Exploitation - Montage/démontage câble,GUERY 17 Montage/démontage câble 7 ligne,2570,U,7,2024-07-09,3,7710,NA,MONTAGE
2022-2024,MS21,4501617505,4,8835,883503,20,04-EXPL-DBC03,Exploitation - Montage/démontage câble,GUERY 17 Montage/démontage câble 7 ligne,2570,U,7,2024-09-25,4,10280,NA,MONTAGE
2022-2024,MS22,4501568088,3,8730,873012,40,04-EXPL-DBC03,Exploitation - Montage/démontage câble,MS8 Exploit - Montage/démontage câble,2500,U,4,2023-08-04,1,2500,NA,MONTAGE
2022-2024,MS22,4501568088,3,8730,873012,40,04-EXPL-DBC03,Exploitation - Montage/démontage câble,MS8 Exploit - Montage/démontage câble,2500,U,4,2023-09-11,2,5000,NA,MONTAGE
2022-2024,MS22,4501568088,3,8730,873012,40,04-EXPL-DBC03,Exploitation - Montage/démontage câble,MS8 Exploit - Montage/démontage câble,2500,U,4,2023-10-03,1,2500,NA,MONTAGE
2022-2024,MS22,4501592858,3,8730,873012,30,04-EXPL-DBC03,Exploitation - Montage/démontage câble,MS8 Exploit - Montage/démontage câble,2500,U,1,2024-01-22,1,2500,NA,MONTAGE
2022-2024,MS23,4501577090,2,8415,841522,30,04-EXPL-CAB01,"Câblage, désencr. bois en cours d'expl.","Câblage, désencr. bois en cours d'expl.",2000,M3,10,2024-01-03,3,6000,NA,MONTAGE
2022-2024,MS23,4501577090,2,8415,841522,30,04-EXPL-CAB01,"Câblage, désencr. bois en cours d'expl.","Câblage, désencr. bois en cours d'expl.",2000,M3,10,2024-02-26,3,6000,NA,MONTAGE
2022-2024,MS23,4501577090,2,8415,841522,30,04-EXPL-CAB01,"Câblage, désencr. bois en cours d'expl.","Câblage, désencr. bois en cours d'expl.",2000,M3,10,2024-04-02,4,8000,NA,MONTAGE
